PIN,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15
PA13,SWDIO,IROUT,,,,,,EVENTOUT,,USART1_RX,,COMP3_OUT,PVD_OUT,,,
PA14,SWCLK,USART2_TX,,,,,,EVENTOUT,,USART1_TX,,,PVD_OUT,,,
PA15,SPI1_NSS/I2S1_WS,USART2_RX,TIM2_CH1_ETR,EVENTOUT,USART4_RTS,,,EVENTOUT,,,USART3_RTS_DE_CK,,,,,
PB0,EVENTOUT,TIM3_CH3,TIM1_CH2,,USART3_CK,,,COMP1_OUT,SPI1_NSS/I2S1_WS,,USART3_RX,,,,,
PB1,TIM14_CH1,TIM3_CH4,TIM1_CH3,,USART3_RTS,,,EVENTOUT,,,,COMP3_OUT,,,,
PB2,,,,,,,,EVENTOUT,SPI2_MISO,,USART3_TX,,,,,
PB3,SPI1_SCK/I2S1_CK,EVENTOUT,TIM2_CH2,,USART1_RTS,,,EVENTOUT,,,,TIM1_CH2,,,,
PB4,SPI1_MISO/I2S1_MCK,TIM3_CH1,EVENTOUT,,USART1_CTS,TIM17_BKIN,,,,,,TIM1_CH2N,,USART1_CK,,
PB5,SPI1_MOSI/I2S1_SD,TIM3_CH2,TIM16_BKIN,I2C1_SMBA,USART1_CK,,,COMP2_OUT,,USART1_RTS,,TIM1_CH3N,,USART1_TX,,
PB6,USART1_TX,I2C1_SCL,TIM16_CH1N,,,,,EVENTOUT,SPI2_MISO,,USART3_CTS,TIM1_CH3,,I2C2_SCL,,
PB7,USART1_RX,I2C1_SDA,TIM17_CH1N,,USART4_CTS,,,EVENTOUT,SPI2_MOSI,,,TIM1_CH1,,I2C2_SDA,,
PB8,,I2C1_SCL,TIM16_CH1N,,CAN_RX,,,EVENTOUT,SPI2_SCK,USART1_TX,USART3_TX,TIM15_BKIN,,I2C2_SCL,TIM1_CH1N,
PB9,IROUT,I2C1_SDA,TIM17_CH1N,EVENTOUT,CAN_TX,SPI2_NSS/I2S2_WS,,,,USART1_RX,USART3_RX,,,I2C2_SDA,,
PB10,,I2C2_SCL,TIM2_CH3,,USART3_TX,SPI2_SCK/I2S2_CK,,COMP1_OUT,,USART2_RTS,,,,I2C1_SCL,,
PB11,EVENTOUT,I2C2_SDA,TIM2_CH4,,USART3_RX,,,COMP2_OUT,SPI2_MOSI,USART2_CTS,,,,I2C1_SDA,,
PB12,SPI2_NSS/I2S2_WS,EVENTOUT,TIM1_BKIN,,USART3_CK,TIM15_BKIN,,,,,,,,,,
PB13,SPI2_SCK/I2S2_CK,,TIM1_CH1N,,USART3_CTS,I2C2_SCL,,EVENTOUT,,MCO,,TIM15_CH1N,,I2C1_SCL,,
PB14,SPI2_MISO/I2S2_MCK,TIM15_CH1,TIM1_CH2N,,USART3_RTS,I2C2_SDA,,EVENTOUT,,,,TIM15_CH1,,I2C1_SDA,,
PB15,SPI2_MOSI/2S2_SD,TIM15_CH2,TIM1_CH3N,TIM15_CH1N,,,,EVENTOUT,,,,,,,,
PC0,EVENTOUT,,,,,,,,,,,SPI1_MISO/I2S1_MCK,USART2_CTS,USART3_RTS,,
PC1,EVENTOUT,,,,,,,,,,,SPI1_MOS/I2S1_SD,USART2_RTS,USART3_CTS,TIM15_CH1,
PC2,EVENTOUT,SPI2_MISO/I2S2_MCK,,,,,,,,,,,USART3_TX,USART3_RX,TIM15_CH2,
PC3,EVENTOUT,SPI2_MOSI/I2S2_SD,,,,,,,,,,,USART3_RX,USART3_TX,,
PC4,EVENTOUT,USART3_TX,,,,,,,,COMP3_OUT,,SPI1_NSS/I2S1_WS,USART1_TX,,TIM2_CH1_ETR,IROUT
PC5,,USART3_RX,,,,,,,,,,SPI1_MOSI/I2S1_SD,USART1_RX,,TIM2_CH2,
PC6,TIM3_CH1,,,,,,,,,,,SPI2_SCK/I2S2_CK,,USART4_RX,TIM2_CH3,
PC7,TIM3_CH2,,,,,,,,,,,SPI2_MISO/I2S2_MCK,,USART4_TX,TIM2_CH4,
PC8,TIM3_CH3,,.,,,,,,,,,SPI2_MOSI/I2S2_SD,,USART4_CTS,TIM1_CH1,
PC9,TIM3_CHA,,,,,,,,,,,SPI2_NSS/I2S2_WS,I2S1_CKIN,USART4_RTS,TIM1_CH2,
PC10,USART4_TX,USART3TX,,,,,,,,,,,,,TIM1_CH3,
PC11,USART4_RX,USART3_RX,,,,,,,,,,,,,TIM1_CH4,
PC12,USART4_CK,USART3_CK,,,,,,,,,,,,,TIM14_CH1,
PC13,,,,,,,,,,,,SPI1_SCK/I2S1_CK,,,TIM1_BKIN,
PC14,,,.,,,,,,,,,,,,TIM1_BKIN2,
PC15,,,,,,,,,,,,,,,TIM15_BKIN,
PF0,CTC_SYNC,,,,,,,,,USART2_TX,,TIM14_CH1,,TIM1_BKIN,,
PF1,,,,,,,,,,USART2_RX,,TIM15_CH1N,,TIM1_CHIN,,
PF2,EVENTOUT,,,,,,,,MCO,,,,,TIM1_CH2,,
PF3,EVENTOUT,,,,,,I2C1_SCL,,,,,,,I2C2_SCL,,
PF4,,,,,,,I2C1_SDA,,,,,,,I2C2_SDA,,
PF5,,,TIM1_BKIN2,,,,,,,,,,,,,
PF6,,,,,USART1_CTS,,,,,,,,,,,
PF7,TIM3_ETR,USART3_RTS,,,,,,,,,,TIM2_CH1N,,,,
PF8,,,,,,,,,,,,,,,,
PF9,,,,,,,,,,,,,,,,
